azon	nev	osztaly
189	Tornyos Imre	10/A
190	Sebok Géza	9/D
191	Lisztes Imre	9/A
192	Tóth Kálmán	12/C
193	Rákos Pál	12/E
194	Kolláth György	12/D
195	Kuti Zoltán	11/C
196	Ádám Péter	9/E
197	Vida Csongor	12/B
198	Solymosi Ödön	9/B
199	Szabó Géza	11/A
200	Garadnai Zoltán	12/A
201	Bor János	11/C
202	Pusztai Géza	9/E
203	Somi József	12/A
204	Senkey Tamás	10/C
205	Jeny Imre	10/B
206	Molnár Balázs	10/E
207	Tihanyi Károly	11/E
208	Kereki Pál	10/A
209	Kispéter Zoltán	10/C
210	Pataki Zsolt	9/E
211	Halász Norbert	12/D
212	Keszthelyi Zsolt	9/B
213	Ébner Dezsõ	12/C
214	Lózung Rezsõ	9/D
215	Karasi Károly	10/D
216	Lovai László	9/A
217	Nik Ferenc	10/A
218	Halmosi Róbert	9/A
219	Bíró Lajos	9/E
220	Jován Máté	9/A
221	Nagy Gábor	10/E
222	Kozmann György	10/D
223	Kaltenbrunner Norbert	12/C
224	Kautzky Alfonz	12/A
225	Buda Béla	10/A
226	Szokai Tamás	10/D
227	Pálos Gábor	9/D
228	Opál Ernõ	11/A
229	Késmárky Péter	10/C
230	Kincses Zoltán	11/C
231	Szabó István	9/C
232	Pribai Zoltán	10/C
233	Falch Emil	12/E
234	Ormos Zoltán	10/C
235	Solti Pál	9/C
236	Magyar Attila	12/C
237	Vidács László	10/C
238	Varga Mátyás	10/A
239	Kipall Ede	10/E
240	Csapó Gábor	9/E
241	Tóth András	9/C
242	Rudas Ádám	11/C
243	Lima Id	10/E
244	Németh Zoltán	10/E
245	Sütõ Péter	12/D
246	Korsós Kálmán	10/A
247	Sas József	12/B
248	Marton József	10/E
249	Pásztor Norbert	11/B
250	Koch Róbert	10/A
251	Hamar Gábor	9/A
252	Plólyik Kálmán	12/A
253	Guzmin Szabolcs	12/C
254	Moli Hugó	12/A
255	Borcsa Attila	12/A
256	Csom Olivér	12/A
257	Tomma Árpád	12/C
258	Zsolnai Péter	11/B
259	Nagy Tibor	11/B
260	Bodosi Béla	11/B
261	Berényi Zsolt	11/D
262	Urbán Roland	10/A
263	Bencsik Áron	12/A
264	Konrád János	10/E
265	Juhász Imre	10/D
266	Tari Endre	12/A
267	Nemes Elek	12/E
268	Seik Áron	9/A
